Account Name,City,Address,County State,Zip Code,R12 Segment,R36 New Unit Revenue,R12 Service Revenue,R12 Rental Revenue,R12 Aftermarket Revenue,Min of Latitude,Min of Longitude
SUNBELT RENTALS,WESTFIELD,16915 WESTFIELD PARK ROAD,Hamilton IN,46074,C2,$3900,$0,$0,$10508,40.03365151,-86.13917629
ADVANCED DRAINAGE SYSTEMS,BRAZIL,2340 E US HWY 40,Clay IN,47834,A1,$3750,$224941,$0,$282012,,
GRAHAM FEED COMPANY,TERRE HAUTE,200 VOORHEES,Vigo IN,47802,D3,$3745,$0,$0,$1344,39.44115700,-87.41490500
LEHNEN FURNITURE & MATTRESS INC,FRANKFORT,10 N MAIN STREET,Clinton IN,46041,P,$3683,$0,$0,$0,40.28080539,-86.51206429
NOVELIS TERRE HAUTE,DES MOINES,PO BOX 4888,Polk IA,50305,C1,$3576,$0,$0,$46558,,
UNITED FARM FAMILY MUTUAL INS CO,INDIANAPOLIS,225 S EAST STREET,Marion IN,46202,P,$3387,$0,$0,$0,39.76342730,-86.14803087
INDIANA UNIVERSITY HEALTH,LAFAYETTE,5165 MCCARTY LANE,Tippecanoe IN,47905,D3,$3270,$2352,$0,$2352,40.40289385,-86.80902943
SHERWIN WILLIAMS,BLOOMINGTON,2654 E 10TH ST,Monroe IN,47402,P,$3222,$0,$0,$0,39.17129430,-86.50060840
ARCONIC INC,LAFAYETTE,3131 E MAIN ST,Tippecanoe IN,47905,C2,$3191,$6956,$0,$89646,,
US VENTURE,INDIANAPOLIS,3350 N RACEWAY ROAD,Marion IN,46234,D3,$3150,$0,$0,$1686,39.81375736,-86.32721894
LOWES #1516,COLUMBUS,3500 TENTH ST,Bartholomew IN,47201,C1,$3100,$74167,$2782,$41435,39.21021800,-85.88146100
UNITED REFRIGERATION,INDIANAPOLIS,7550 ZIONSVILLE ROAD,Marion IN,46268,P,$3064,$0,$0,$0,,
WHITE CAP / HD SUPPLY,INDIANAPOLIS,3201 ROOSEVELT AVENUE,Marion IN,46218,D3,$2757,$0,$0,$1375,39.79746200,-86.11170600
OLD DOMINION FREIGHT LINE,INDIANAPOLIS,3915 WEST MORRIS STREET,Marion IN,46241,D3,$2752,$6497,$0,$6497,,
SCI CORP INC,INDIANAPOLIS,2825 W PERIMETER RD,Marion IN,46241,P,$2675,$0,$0,$0,39.72177973,-86.32355767
THERMO TRANSFER,SHELBYVILLE,1601 MILLER AVE,Shelby IN,46176,D3,$2647,$0,$1017,$1017,39.50965300,-85.79631600
HEDINGER'S EQUIPMENT,INDIANAPOLIS,6125 SOUTHEASTERN,Marion IN,46203,C3,$2568,$0,$0,$10058,39.73268205,-86.06064607
SANTAROSSA MOSAIC & TILE CO INC,INDIANAPOLIS,2707 ROOSEVELT AVENUE,Marion IN,46218,D3,$2541,$306,$0,$306,,
SUNBELT RENTALS PC312,INDIANAPOLIS,4949 S HARDING ST,Marion IN,46217,C2,$2400,$1155,$0,$10508,39.69452772,-86.18652022
CARGOLOOP,LAPORTE,1920 W FAIRMONT,Harris TX,77571,C2,$2312,$0,$0,$28476,,
ELANCO US INC,TERRE HAUTE,1445 SOUTH 1ST ST,Vigo IN,47802,C3,$2293,$3064,$15997,$19061,39.45170118,-87.41641067
"KLOSTERMAN BAKERY, INC",MORRISTOWN,2618 HIGHWAY 52,Shelby IN,46161,C1,$2119,$1877,$10844,$12798,39.68295400,-85.73206200
DUKE ENERGY,PLAINFIELD,1000 E MAIN ST,Hendricks IN,46168,P,$2000,$0,$0,$0,39.70690000,-86.38995000
FERGUSON ENTERPRISES,INDIANAPOLIS,4110 N FRANKLIN ROAD,Marion IN,46226,P,$2000,$0,$0,$0,39.83153755,-86.02879200
STAR PIPE,INDIANAPOLIS,6119 GUION ROAD,Marion IN,46254,C3,$2000,$0,$0,$11119,,
"W F  MEYERS COMPANY, INC.",BEDFORD,1008 13TH ST,Lawrence IN,47421,P,$1942,$0,$0,$0,38.86442108,-86.48424363
LOWES #2319,INDIANAPOLIS,4444 S EMERSON AVENUE,Marion IN,46203,C2,$1900,$23348,$3879,$27227,39.70219410,-86.08565046
AIRWORX ACQUISITION LLC,INDIANAPOLIS,2075 S. BELMONT AVE,Marion IN,46221,B1,$1800,$0,$101242,$109216,39.73922420,-86.19484235
IRON MOUNTAIN,INDIANAPOLIS,6120 CHURCHMAN BY-PASS,Marion IN,46203,D3,$1800,$10670,$0,$5539,39.71331100,-86.06007800
ARCTIC GLACIER ICE,BEDFORD,2404 U STREET,Lawrence IN,47421,P,$1677,$0,$0,$0,38.85261210,-86.49939046
FCA US TRANSMISSION,KOKOMO,2401 S REED RD,Howard IN,46902,A3,$1662,$0,$0,$302668,40.45863739,-86.11012960
LOWES #635,INDIANAPOLIS,6002 N RURAL ST,Marion IN,46220,C2,$1650,$46277,$8787,$68018,39.86427275,-86.11831445
SUNBELT RENTALS PC219,NOBLESVILLE,18000 CUMBERLAND RD,Hamilton IN,46060,C2,$1650,$0,$0,$10508,40.04990200,-85.99563400
AUXILIARY OPERATIONS,CRAWFORDSVILLE,510 SHERIDAN AVE,Montgomery IN,47933,P,$1605,$0,$0,$0,40.03646900,-86.89128900
LAFAYETTE VENETIAN BLIND,WEST LAFAYETTE,3000 KLONDIKE RD,Tippecanoe IN,47906,D3,$1605,$0,$0,$698,40.45954435,-86.96546305
LOWES #1894,BEDFORD,3300 16TH ST,Lawrence IN,47421,C3,$1600,$16427,$0,$16427,38.85910930,-86.51905013
REHRIG PACIFIC COMPANY,GAS CITY,100 FISCHER PKWY,Grant IN,46933,C2,$1508,$10245,$0,$66526,,
REHRIG PACIFIC COMPANY,GREENCASTLE,333 S WARREN DR,Putnam IN,46135,C2,$1508,$4576,$2001,$66526,39.64063800,-86.82987400
UTILITY PIPE SALES,INDIANAPOLIS,2821 CATHERWOOD AVENUE,Marion IN,46219,C3,$1414,$14096,$0,$15706,,
LANSING BUILDING PRODUCTS,CARMEL,9801 MAYFLOWER PARK DRIVE,Hamilton IN,46032,P,$1350,$0,$0,$0,39.92833523,-86.23697328
SRS/LOUIS T OLLESHEIMER & SON,INDIANAPOLIS,3250 SHADELAND AVENUE,Marion IN,46226,D3,$1350,$0,$0,$589,39.81584360,-86.04576560
LOWES #1135,AVON,7893 EAST US HWY #36,Hendricks IN,46123,C3,$1300,$40513,$0,$40513,,
SUNBELT RENTALS,INDIANAPOLIS,3956 CULLIGAN AVENUE,Marion IN,46218,C2,$1250,$1220,$0,$10508,39.79119165,-86.09892293
YUSEN LOGISTICS AMERICAS INC,GREENFIELD,6352 CR WEST 400N,Hancock IN,46140,P,$1250,$0,$0,$0,,
YUSEN LOGISTICS AMERICAS INC,GREENFIELD,7383 CR WEST 350N,Hancock IN,46140,P,$1250,$0,$0,$0,,
SUNBELT RENTALS,BROWNSBURG,1585 W NORTHFIELD DRIVE,Hendricks IN,46112,C2,$1200,$0,$0,$10508,39.85768930,-86.40984980
OLE MEXICAN,INDIANAPOLIS,5945 WEST 84TH STREET,Marion IN,46278,P,$1179,$0,$0,$0,39.90524540,-86.26509370
GENERAL MOTORS CORPORATION,MARION,2400 W 2ND STREET,Grant IN,46952,P,$1088,$0,$0,$0,40.55979600,-85.69323100
MCFARLING FOODS,INDIANAPOLIS,245 S FRANKLIN ROAD,Marion IN,46219,C3,$1070,$5994,$4799,$13269,39.76912380,-86.02439759
INMAR,INDIANAPOLIS,7600 ROCKVILLE RD,Marion IN,46214,P,$984,$0,$0,$0,39.76637675,-86.29633588
US VENTURE,GREENFIELD,4308 W 300N,Hancock IN,46140,D3,$977,$1686,$0,$1686,,
DANZER VENEER AMERICAS,EDINBURGH,206 S HOLLAND STREET,Johnson IN,46124,P,$962,$0,$0,$0,39.35313559,-85.96550600
U PULL AND PAY LLC,INDIANAPOLIS,940 WEST 16TH STREET,Marion IN,46202,D3,$944,$1203,$0,$1203,39.79609820,-86.17604408
84 LUMBER STORE NO. 0720,DANVILLE,352 S CR 300E,Hendricks IN,46122,P,$929,$0,$0,$0,,
BLUE TRITON BRANDS INC,GREENWOOD,900 COMMERCE WAY,Johnson IN,46143,A3,$900,$0,$0,$215362,,
SRS/LOUIS T OLLESHEIMER & SON,TERRE HAUTE,101 EAGLE STREET,Vigo IN,47807,D3,$900,$589,$0,$589,39.46941500,-87.41648900
SMITHFIELD DIRECT,PENDLETON,8282 SOUTH STATE RD 67,Madison IN,46064,P,$824,$0,$0,$0,39.98389200,-85.74948100
"DUKE ENERGY COLUMBUS, INC.",WEST LAFAYETTE,510 S RUSSELL STREET,Tippecanoe IN,47906,P,$750,$0,$0,$0,40.41713600,-86.91416300
SRS/LOUIS T OLLESHEIMER & SON,INDIANAPOLIS,5272 E 65TH STREET,Marion IN,46220,D3,$700,$0,$0,$589,,
WHOLESALE BLDG MATERIAL,TERRE HAUTE,1110 FORT HARRISON RD,Vigo IN,47804,D3,$700,$4488,$0,$8862,39.50673318,-87.40164988
LOWES DISTRIBUTION #992,NORTH VERNON,1301 W  JFK DR,Jennings IN,47265,C2,$682,$17671,$0,$44197,39.02523500,-85.63782100
AMERICAN WELDING & GAS,TERRE HAUTE,1317 POPLAR STREET,Vigo IN,47807,P,$662,$0,$0,$0,,
LOWES FLEET #1031,ANDERSON,3335 S SCATTERFIELD RD,Madison IN,46013,C2,$650,$22697,$1832,$28700,40.08149900,-85.65420700
84 LUMBER STORE NO. 0709,GREENWOOD,484 EAST WORTHSVILLE ROAD,Johnson IN,46143,P,$600,$0,$0,$0,39.58661753,-86.09645706
84 LUMBER STORE NO. 0783,FRANKLIN,1850 N GRAHAM RD,Johnson IN,46131,C3,$600,$63628,$0,$31814,39.50441200,-86.05612600
SHERWIN WILLIAMS,INDIANAPOLIS,5350 W RAYMOND,Marion IN,46241,D3,$600,$2351,$0,$2351,39.73622900,-86.25229900
SUNBELT RENTALS PC222,COLUMBUS,3069 N NATIONAL RD,Bartholomew IN,47203,C2,$600,$0,$0,$10508,39.22987500,-85.90136700
BUCKEYE POWER SALES,INDIANAPOLIS,1707 S FRANKLIN RD,Marion IN,46239,D3,$571,$1202,$0,$1202,39.74718920,-86.02517045
HD SUPPLY WHITE CAP STORE #151,INDIANAPOLIS,7130 W MCCARTY STREET,Marion IN,46241,D3,$525,$1375,$0,$1375,39.75377942,-86.28676320
AIRGAS,INDIANAPOLIS,2450 PRODUCTION DRIVE,Marion IN,46241,P,$501,$0,$0,$0,39.73366480,-86.26074819
LOOMIS ARMORED,INDIANAPOLIS,6575 E 30TH ST,Marion IN,46219,P,$501,$0,$0,$0,39.80801565,-86.05399848
LOWES #215,TERRE HAUTE,4701 S US HWY 41,Vigo IN,47802,C2,$500,$21879,$5146,$27756,,
SPLASH TRANSPORT/DR PEPPER,SEYMOUR,1450 SCHLETER RD,Jackson IN,47274,C3,$500,$17857,$0,$17857,38.94663136,-85.91004312
INTERIOR SUPPLY,INDIANAPOLIS,6312 SOUTHEASTERN AVE,Marion IN,46203,C3,$471,$20182,$0,$20231,39.73127675,-86.05603506
BUNGE,INDIANAPOLIS,1102 WEST 18TH STREET,Marion IN,46202,P,$461,$0,$0,$0,39.79129586,-86.18030249
CARTER LEE LUMBER,INDIANAPOLIS,1717 W WASHINGTON ST,Marion IN,46222,P,$450,$0,$0,$0,39.76663059,-86.19224616
SRS/LOUIS T OLLESHEIMER & SON,MUNCIE,520 E HIGHLAND AVENUE,Delaware IN,47303,D3,$450,$0,$0,$589,40.20478333,-85.38059843
WAL MART #1758,NEW CASTLE,3167 S STATE RD 3,Henry IN,47362,P,$400,$0,$0,$0,39.88665100,-85.38894700
GREAT LAKES ACE,PLAINFIELD,1800 E MAIN ST,Hendricks IN,46168,P,$333,$0,$0,$0,39.71053100,-86.37707900
LOWES #272,INDIANAPOLIS,8801 E 25TH ST,Marion IN,46219,C2,$300,$42931,$4823,$50933,39.80308200,-86.01351570
LOWES #442,INDIANAPOLIS,8850 S MADISON AVE,Marion IN,46227,C3,$300,$31579,$0,$31579,,
LOWES #634,BLOOMINGTON,350 N GATES DR,Monroe IN,47404,C3,$300,$18800,$0,$18800,39.17007570,-86.57536143
WAL MART #2788,BROWNSBURG,400 W NORTHFIELD DR,Hendricks IN,46112,P,$300,$0,$0,$0,39.85995760,-86.39663190
WAL MART #4235,TERRE HAUTE,2399 S STATE RD 46,Vigo IN,47803,P,$300,$0,$0,$0,39.43898300,-87.33644600
SRS/LOUIS T OLLESHEIMER & SON,GROVETOWN,701 S OLD BELAIR ROAD,Columbia GA,30813,D3,$250,$0,$0,$589,33.48538100,-82.13547200
ATLAS INTERNATIONAL LIFT TRUCKS,ELK GROVE VILLAGE,1850 TOUHY AVENUE,Cook IL,60007,P,$200,$0,$0,$0,42.00790299,-87.95579349
TAYLORS FORKLIFT,GREENVILLE,1012 TAYLORS CREEK DRIVE,Pitt NC,27834,P,$200,$0,$0,$0,35.57634600,-77.44337000
ARCTIC GLACIER LLC,INDIANAPOLIS,4001 W MINNESOTA ST,Marion IN,46241,P,$139,$0,$0,$0,39.74088390,-86.23170202
WAL MART #2787,INDIANAPOLIS,7325 N KEYSTONE AVE,Marion IN,46240,P,$107,$0,$0,$0,39.88752215,-86.11899722
WAL MART #1275,LEBANON,2440 N LEBANON ST,Boone IN,46052,P,$100,$0,$0,$0,40.07151290,-86.48043350
WAL MART #3851,LAFAYETTE,2347 VETERANS MEMORIAL PKWY S,Tippecanoe IN,47909,P,$100,$0,$0,$0,40.36423760,-86.85975100
WAL MART #4216,COLUMBUS,2025 MERCHANT MILE,Bartholomew IN,47201,P,$100,$0,$0,$0,39.19650100,-85.94586100
WAL MART #5804,INDIANAPOLIS,5835 W 10TH STREET,Marion IN,46224,P,$100,$0,$0,$0,,
WAL MART #6476,DANVILLE,1894 RIDGE AVENUE,Hendricks IN,46122,P,$100,$0,$0,$0,39.75972850,-86.48921870
WAL MART #854,FRANKFORT,2460 EAST WABASH,Clinton IN,46041,P,$100,$0,$0,$0,40.28143070,-86.47854354
WAL MART #884,SHELBYVILLE,2500 PROGRESS PARKWAY,Shelby IN,46176,P,$100,$0,$0,$0,39.52770630,-85.74345170
WAL MART #995,FRANKLIN,2125 N MORTON ST,Johnson IN,46131,P,$100,$0,$0,$0,39.50178590,-86.06536970
WAL-MART #6470,PLAINFIELD,900 W MAIN STREET,Hendricks IN,46168,P,$100,$0,$0,$0,39.70018910,-86.41676680
WALMART NEIGHBORHOOD MARKET #5767,FISHERS,9354 AMBLESIDE DRIVE,Hamilton IN,46038,P,$100,$0,$0,$0,39.98127280,-86.00155030
#10 RELOGISTICS/CVS,SOMERSET,322 REVCO ROAD,Somerset PA,15501,D3,$0,$2691,$19244,$8206,40.02747504,-79.08213363
1001 PROPERTIES INC,INDIANAPOLIS,4530 N KEYSTONE AVE,Marion IN,46205,P,$0,$0,$0,$0,39.83952838,-86.12201988
101 MOBILITY,INDIANAPOLIS,8501 BASH STREET,Marion IN,46250,P,$0,$0,$0,$0,39.91031100,-86.04759400
1ST CLASS FUND RAISERS,FRANKFORT,2072 STATE RD 39,Clinton IN,46041,D3,$0,$5466,$0,$5466,,
307 CORPORATION,LAFAYETTE,4646 E COUNTY RD 350 SOU,Tippecanoe IN,47905,C1,$0,$0,$0,$65296,,
3C LLC,INDIANAPOLIS,7601 E 88TH PLACE,Marion IN,46256,P,$0,$0,$0,$0,39.91671906,-86.03424802
4 DAUGHTERS FARMS LLC,WALDRON,9366 W 900S,Shelby IN,46182,P,$0,$0,$0,$0,,
48FORTY SOLUTIONS,INDIANAPOLIS,606 W TROY AVENUE,Marion IN,46225,D3,$0,$125,$0,$125,39.72243743,-86.16847259
4K/FDS LLC,LAFAYETTE,3430 MAPLE POINT DRIVE,Tippecanoe IN,47905,D3,$0,$333,$0,$43,40.38721500,-86.85462300
4WARD MEDI,INDIANAPOLIS,5845 W 82ND STREET,Marion IN,46278,D3,$0,$1417,$0,$1417,39.90097660,-86.26419658
5 BELOW BLDG,INDIANAPOLIS,12050 E MCGREGOR RD,Marion IN,46241,P,$0,$0,$0,$0,39.65987600,-85.95023100
84 LUMBER,INDIANAPOLIS,9084 CORPORATION DRIVE,Marion IN,46256,D3,$0,$0,$0,$3,39.91907663,-86.03612126
84 LUMBER STORE NO. 0783,INDIANAPOLIS,6585 EAST 30TH STREET,Marion IN,46219,C3,$0,$8775,$0,$36202,39.80650290,-86.05398045
8TH DAY DISTILLERY,INDIANAPOLIS,1125 BROOKSIDE AVENUE,Marion IN,46202,P,$0,$0,$0,$0,39.78215860,-86.13705280
A & A TRANSMISSION,CAMBY,5061 E NORTH COUNTY LINE ROAD,Morgan IN,46113,P,$0,$0,$0,$0,,
A & R ERECTORS,INDIANAPOLIS,1605 COUNTRY CLUB ROAD,Marion IN,46234,D3,$0,$0,$0,$552,39.78669100,-86.30746300
A & T MECHANICAL LLC,PITTSBORO,608 W MAIN STREET,Hendricks IN,46167,P,$0,$0,$0,$0,39.87875945,-86.53654136
A A A HEATING,INDIANAPOLIS,10507 PENDELTON PIKE,Marion IN,46236,P,$0,$0,$0,$0,,
A B CASTING & PAINTING,ANDERSON,505 EAST 31ST ST,Madison IN,46016,C3,$0,$1775,$33670,$35445,40.08513312,-85.67269386
A FIRE'S PLACE,LAFAYETTE,435 FARABEE DR S,Tippecanoe IN,47905,P,$0,$0,$0,$0,40.41301932,-86.85189443
A H FURNICO INC,INDIANAPOLIS,1720 WALES AVE,Marion IN,46218,P,$0,$0,$0,$0,39.78966991,-86.09880436
A SIGN BY DESIGN INC,LEBANON,501 W NOBLE STREET,Boone IN,46052,P,$0,$0,$0,$0,40.03914800,-86.47272000
A&K FAMILY FARMS,COLUMBUS,6585 E 50N,Bartholomew IN,47203,P,$0,$0,$0,$0,,
A1 MACHINERY,ST-MATHIEU-DE-BELOEIL,3225 CH. DE L'INDUSTRIES,,J3G0J,P,$0,$0,$0,$0,45.59160600,-73.26536400
AALBERTS HYDRONIC FLOW CONTROL,FISHERS,9982 E 121ST ST,Hamilton IN,46037,P,$0,$0,$0,$0,39.96448809,-85.99017287
AAR CORPORATION,INDIANAPOLIS,2745 S HOFFMAN RD,Marion IN,46241,D3,$0,$2646,$0,$2874,39.73027491,-86.30451318
AAR CORPORATION,INDIANAPOLIS,2825 W PERIMETER RD,Marion IN,46241,D3,$0,$228,$0,$2874,39.72177973,-86.32355767
AAS CARRIER INC,FRANKLIN,809 OVERSTREET STREET,Johnson IN,46131,P,$0,$0,$0,$0,39.48835492,-86.04555001
AASC,FLORA,2729 E STATE RD 18,,46269,D3,$0,$1069,$0,$1069,,
ABBOTTS PRECISION COLLISON,LAFAYETTE,388 FARABEE DR,Tippecanoe IN,47905,P,$0,$0,$0,$0,40.41348842,-86.85213128
ABC METALS INC,INDIANAPOLIS,3131 N FRANKLIN RD,Marion IN,46226,P,$0,$0,$0,$0,39.81385966,-86.02666952
ABC SUPPLY,EVANSVILLE,2506 HIGHWAY 41N,Vanderburgh IN,47711,D3,$0,$0,$0,$1983,38.00118400,-87.53928200
ABC SUPPLY,INDIANAPOLIS,2900 N SHADELAND AVE,Marion IN,46219,D3,$0,$1440,$0,$1440,39.80849810,-86.04840900
ABC SUPPLY,TERRE HAUTE,2119 SOUTH 3RD STREET,Vigo IN,47802,D3,$0,$345,$0,$345,39.44386982,-87.41359617
ABC SUPPLY CO,MUNCIE,4501 S COWAN,Delaware IN,47302,P,$0,$0,$0,$0,40.15218200,-85.40561700
ABC SUPPLY CO INC #642,LAFAYETTE,3400 CONCORD RD,Tippecanoe IN,47909,P,$0,$0,$0,$0,40.37546300,-86.85835300
ABC SUPPLY CO INC 611,INDIANAPOLIS,1930 W EDGEWOOD AVE,Marion IN,46217,D3,$0,$922,$0,$1158,39.68059000,-86.19431826
ABEDNEGO ENVIRONMENTAL,NOVI,27175 HAGGERTY RD,Oakland MI,48377,D3,$0,$65,$0,$310,42.49202889,-83.43613824
ABM ONSITE SERVICES,INDIANAPOLIS,4368 COSSEL RD,Marion IN,46222,B2,$0,$817,$0,$99658,,
ABM ONSITE SERVICES,INDIANAPOLIS,ONE ALLISON WAY,Marion IN,46241,B2,$0,$17333,$25525,$99658,,
ABR IMAGERY,BLOOMINGTON,3808 W VERNAL PIKE,Monroe IN,47404,P,$0,$0,$0,$0,39.17913073,-86.57456714
ACCELL CONSTRUCTION MGMT,INDIANAPOLIS,5701 FORTUNE CIRCLE S,Marion IN,46241,C3,$0,$10845,$0,$10845,39.72141825,-86.26036554
ACCELL CONSTRUCTION MGMT,INDPLS,2445 DIRECTORS ROW  SUITE F,Marion IN,46241,C3,$0,$0,$0,$10845,39.73182800,-86.26196400
ACCESSA COATINGS,INDIANAPOLIS,1034 E NEW YORK ST,Marion IN,46202,P,$0,$0,$0,$0,39.77156990,-86.13908860
ACCULEVEL INC,ROSSVILLE,9495 N WALDRON ROAD,Clinton IN,46065,D3,$0,$3600,$0,$3745,40.42411080,-86.65574390
ACCURATE LASER SYSTEM INC,INDIANAPOLIS,2855 TOBEY DRIVE,Marion IN,46219,D3,$0,$286,$0,$286,39.80929780,-86.01751250
ACE ATTACHMENTS LLC,CHESTER,622 INDUSTRIAL WAY,Chester SC,29706,P,$0,$0,$0,$0,34.75254017,-81.06145066
ACE BATTERY,INDIANAPOLIS,2250 N RITTER AVENUE,Marion IN,46218,D3,$0,$743,$0,$3572,39.79981600,-86.07554163
ACE BATTERY,INDIANAPOLIS,3000 S SHELBY BLDG 1,Marion IN,46227,D3,$0,$0,$0,$1786,,
ACE BATTERY,INDIANAPOLIS,3006 N PENNSYLVANIA,Marion IN,46205,D3,$0,$0,$0,$1786,39.81037300,-86.15583900
ACE BATTERY,INDIANAPOLIS,68 N GALE STREET,Marion IN,46201,D3,$0,$0,$0,$1786,39.77036325,-86.10674560
ACE BATTERY,INDIANAPOLIS,740 S FULLER DR,Marion IN,46241,D3,$0,$0,$0,$1786,39.75539855,-86.24563863
ACE FIRE PROTECTION,LAFAYETTE,706 NAVCO DR,Tippecanoe IN,47905,P,$0,$0,$0,$0,40.41008054,-86.85350079
ACF INDUSTRIES,MILTON,417 N ASH STREET,Northumberland PA,17847,P,$0,$0,$0,($9500),,
ACO,FISHERS,8100 E 106TH STREET,Hamilton IN,46038,D3,$0,$257,$0,$257,39.94182913,-86.02570235
ACORN DISTRIBUTORS INC,INDIANAPOLIS,5820 FORTUNE CIRCLE,Marion IN,46241,P,$0,$0,$0,$0,39.72763900,-86.26158800
ACRO ENGINEERING INC,GREENSBURG,1120 W WASHINGTON ST,Decatur IN,47240,P,$0,$0,$0,$0,39.33763495,-85.49803787
ADM MILLING CO,BEECH GROVE,854 BETHEL AVE,Marion IN,46107,D3,$0,$859,$3799,$4657,39.73383165,-86.09321288
ADP,BOSTON,PO BOX 842875,Suffolk MA,02284,P,$0,$0,$0,$0,,
ADVANCED DRAINAGE,INDIANAPOLIS,420 S BELMONT ST,Marion IN,46201,A1,$0,$2490,$0,$282012,39.76033450,-86.19673500
ADVANCED OFFICE LOGISTICS,INDIANAPOLIS,2051 SHERBROOK AVE,Marion IN,46218,P,$0,$0,$0,$0,39.79549400,-86.12561461
ADVANCED OFFICE LOGISTICS,INDIANAPOLIS,3250 N POST RD,Marion IN,46226,P,$0,$0,$0,$0,39.81576994,-86.00990970
ADVANCED POWERTRAIN LLC,SULLIVAN,112 N CROSS STREET,Sullivan IN,47882,D3,$0,$3796,$0,$3796,39.09668056,-87.41204064
ADVANCED RACING ENGINES & DESIGN LL,INDIANAPOLIS,4910 KAROBAR DRIVE,Marion IN,46218,D3,$0,$0,$9256,$9256,39.80103800,-86.08640800
ADVANCED SYSTEMS INC,INDIANAPOLIS,7257 US 31S,Marion IN,46227,P,$0,$0,$0,$0,,
ADVANTAGE MANUFACTURING,MARTINSVILLE,30 ROBB HILL RD,Morgan IN,46151,P,$0,$0,$0,$0,,
ADVANTAGE MATERIAL HANDLI,MUNDELEIN,900 TOWER ROAD,Lake IL,60060,P,$0,$0,$0,$0,42.24990590,-87.98850955
AE ARMORY LLC,GREENWOOD,545 CHRISTY DRIVE,Johnson IN,46143,D3,$0,$0,$6688,$6688,39.63326830,-86.09535040
AEF CONCRETE LLC,NOBLESVILLE,990 S 13TH STREET,Hamilton IN,46060,D3,$0,$3478,$0,$3478,40.03748980,-86.00879833
AEL SPAN,PLAINFIELD,3051 MIDFIELD CT,Hendricks IN,46168,A3,$0,$2343,$45315,$322620,,
AEL SPAN,PLAINFIELD,6032 GATEWAY DR,Hendricks IN,46168,A3,$0,$52741,$497412,$331469,39.66941500,-86.37370300
AERO INDUSTRIES,INDIANAPOLIS,4243 W BRADBURY AVE,Marion IN,46241,P,$0,$0,$0,$0,39.72906075,-86.23594276
AEROSAFE GLOBAL,INDIANAPOLIS,5325 SEERLEY RD,Marion IN,46241,B3,$0,$2331,$77960,$80292,39.71659312,-86.25075594
AES AUTOMOTIVE EQUIPMENT SPECIALIST,SEYMOUR,100 N EWING STREET,Jackson IN,47274,P,$0,$0,$0,$0,38.95913700,-85.88737100
AES INDIANA,INDIANAPOLIS,1101 RIVER AVE,Marion IN,46221,D3,$0,$1118,$0,$2328,39.75371500,-86.18060000
AES INDIANA,INDIANAPOLIS,1230 W MORRIS ST,Marion IN,46221,D3,$0,$0,$0,$2328,39.75180405,-86.18049878
AFFCO MACHINE SALES IN,WESTFIELD,510 ENTERPRISE DR,Hamilton IN,46074,P,$0,$0,$0,$0,40.04432989,-86.15039789
AG ALUMNI,ROMNEY,702 S R 28 E,Tippecanoe IN,47981,D3,$0,$958,$0,$958,,
AG SOLUTIONS,INDIANAPOLIS,2525 N SHADELAND AVE,Marion IN,46219,P,$0,$0,$0,$0,39.80359765,-86.04277570
AG SOLUTIONS,INDIANAPOLIS,6525 E 82ND ST,Marion IN,46250,P,$0,$0,$0,$0,39.90371600,-86.05415790
AGS EXPO SERVICES,INDIANAPOLIS,100 S CAPITOL AVE,Marion IN,46225,D2,$0,$0,$4949,$6125,39.76193520,-86.16216374
AGS EXPO SERVICES,PLAINFIELD,2363 E PERRY RD,Hendricks IN,46168,D2,$0,$1005,$0,$6125,39.67686300,-86.36054700
AIR ENERGY SYSTEMS INC.,INDIANAPOLIS,4790 W 73RD ST,Marion IN,46268,P,$0,$0,$0,$0,39.88515695,-86.24064263
AIR FAYRE,INDINANAPOLIS,1911 EXECUTIVE DR,Marion IN,46241,C3,$0,$0,$856,$33741,39.73956800,-86.25312800
AIRCELLE SERVICES AMERICA,INDIANAPOLIS,725 S GIRLS SCHOOL RD,Marion IN,46231,P,$0,$0,$0,$0,39.75499087,-86.28888363
AIRCELLE SERVICES AMERICA,PLAINFIELD,845 AIRTECH PARKWAY,Hendricks IN,46168,P,$0,$0,$0,$0,,
AIRFX USA LLC,BRAZIL,1484 E COUNTY ROAD 600N,Clay IN,47834,P,$0,$0,$0,$0,,
"AIRTOMIC, LLC",FRANKLIN,75 LINVILLE WAY,Johnson IN,46131,D3,$0,$3101,$0,$3101,39.50925500,-86.05176900
AIRTRON,INDIANAPOLIS,1230 SOUTH POST RD,Marion IN,46239,C3,$0,$0,$0,$33741,39.75305521,-86.00893860
AISIN WORLD CORP OF AMERICA,FRANKLIN,187 BARTRAM PKWY,Johnson IN,46131,C3,$0,$0,$11370,$11370,39.48045684,-86.00758066
AKKA PLASTICS,MITCHELL,1100 N TEKE BURTON DR,Lawrence IN,47446,P,$0,$0,$0,$0,38.74080700,-86.49208000
ALDERMAN AUTOMOTIVE,FISHERS,13875 TRADE CENTER DRIVE,Hamilton IN,46038,D3,$0,$0,$0,$744,39.99262866,-86.00530827
ALL AMERICAN FACILITY MAINTENANCE I,CARMEL,2520 EAST 146TH ST,Hamilton IN,46033,P,$0,$0,$0,$0,40.00048797,-86.11763264
